DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,LICENSE DESCRIPTION,LATITUDE,LONGITUDE,LOCATION
SHE-NANNIGAN'S HOUSE OF BEERS,16 W DIVISION ST 1ST,CHICAGO,IL,60610,Late Hour,41.90404035,-87.62933546,"(41.9040403492842, -87.62933545937574)"
"THE LODGE TAVERN, INC.",21 W DIVISION ST,CHICAGO,IL,60610,Late Hour,41.90381781,-87.62958214,"(41.90381780710421, -87.62958214133575)"
SOCIAL TWENTY FIVE,25 W HUBBARD ST,CHICAGO,IL,60610,Late Hour,41.88994002,-87.62894827,"(41.88994002083373, -87.62894827231133)"
GREEN MILL JAZZ CLUB,4802 N BROADWAY  1ST,CHICAGO,IL,60640,Late Hour,41.96913801,-87.6598213,"(41.969138014237544, -87.65982130240475)"
FADO IRISH PUB,100 W GRAND AVE  1ST &,CHICAGO,IL,60610,Late Hour,41.89173502,-87.63120169,"(41.891735020379166, -87.63120168879202)"
MOTHER'S FIRST VENTURE LTD,26 W DIVISION ST  BASEM,CHICAGO,IL,60610,Late Hour,41.90403548,-87.62975462,"(41.90403548424903, -87.62975461913923)"
FENIX LOUNGE LTD,2906 N PULASKI RD 1ST,CHICAGO,IL,60641,Late Hour,41.93384578,-87.72718318,"(41.933845775536575, -87.72718317931765)"
Cafe Latin Bliss,5515 N LINCOLN AVE,CHICAGO,IL,60625,Late Hour,41.98186604,-87.69283406,"(41.98186603682908, -87.69283405676238)"
DUGAN'S,128 S HALSTED ST 1ST,CHICAGO,IL,60661,Late Hour,41.87957992,-87.64743995,"(41.87957991804082, -87.64743995410377)"
VIP'S A GENTLEMENS CLUB,1531 N KINGSBURY ST,CHICAGO,IL,60622,Late Hour,41.90905475,-87.6524222,"(41.90905475445697, -87.65242220436633)"
RESTAURANTE ALANIS LTD,4153 W 26TH ST 1ST #,CHICAGO,IL,60623,Late Hour,41.84408107,-87.72907469,"(41.84408106968191, -87.72907469267422)"
LAS ISLAS MARIAS,2043-2051 N MILWAUKEE AVE,CHICAGO,IL,60647,Late Hour,41.91844757,-87.68982575,"(41.918447569300206, -87.68982574887923)"
O'CALLAGHAN'S,29 W HUBBARD ST 1 & 2,CHICAGO,IL,60610,Late Hour,41.88993752,-87.62909218,"(41.889937518511736, -87.62909217502623)"
O'CALLAGHAN'S,29 W HUBBARD ST 1 & 2,CHICAGO,IL,60610,Late Hour,41.88993752,-87.62909218,"(41.889937518511736, -87.62909217502623)"
THE TAVERN,1958 W NORTH AVE  1,CHICAGO,IL,60622,Late Hour,41.91058513,-87.67753277,"(41.91058512655577, -87.67753276477028)"
PARK TAVERN CHICAGO,1645 W JACKSON BLVD,CHICAGO,IL,60612,Late Hour,41.87748554,-87.66852104,"(41.87748553469393, -87.66852104233708)"
SHAMBLES BAR,"2050 W DIVISION ST 1, 2 ",CHICAGO,IL,60622,Late Hour,,,
BISTRO 151/BAR AT 151,151 E WACKER DR  PLAZA,CHICAGO,IL,60601,Late Hour,,,
THE CONTINENTAL LOUNGE,2801 W CHICAGO AVE 1&2,CHICAGO,IL,60622,Late Hour,41.89554371,-87.69676464,"(41.895543708081156, -87.69676464023073)"
EXIT,1315 W NORTH AVE 1-2,CHICAGO,IL,60622,Late Hour,41.91061262,-87.66112181,"(41.910612624005275, -87.66112181251876)"
CELESTE,"111 W HUBBARD ST 1ST, 2ND, 3RD ",CHICAGO,IL,60654,Late Hour,,,
STOUT BARREL HOUSE AND KITCHEN,"642-644 N CLARK ST 1ST, 2ND ",CHICAGO,IL,60654,Late Hour,,,
MILLER'S PUB & RESTAURANT,134 S WABASH AVE 1ST,CHICAGO,IL,60603,Late Hour,41.87994706,-87.62629031,"(41.87994705990922, -87.62629031020356)"
MAGNUM'S/WHITE STAR,223-225 W ONTARIO ST 1 2,CHICAGO,IL,60654,Late Hour,41.89306378,-87.63511343,"(41.893063784377034, -87.63511342609776)"
GIBSONS STEAK HOUSE,1028 N RUSH ST 1ST,CHICAGO,IL,60611,Late Hour,41.90148853,-87.62801242,"(41.901488534319434, -87.62801242215315)"
SOUND-BAR,226 W ONTARIO ST,CHICAGO,IL,60654,Late Hour,41.89328078,-87.63528842,"(41.89328077794026, -87.63528842226238)"
JACKHAMMER,6406 N CLARK ST 1 & BSMT,CHICAGO,IL,60626,Late Hour,41.9982574,-87.67080931,"(41.998257403757584, -87.67080930600724)"
Metro,3730 N CLARK ST 2,CHICAGO,IL,60613,Late Hour,41.94987958,-87.65884298,"(41.94987957621978, -87.6588429827861)"
BIJAN BISTRO,661-663 N STATE ST,CHICAGO,IL,60610,Late Hour,41.8941867,-87.62799202,"(41.89418669710023, -87.62799202224045)"
PIPPIN'S TAVERN,806 N RUSH ST 1ST,CHICAGO,IL,60611,Late Hour,41.89692693,-87.62585796,"(41.896926926058576, -87.62585795579281)"
UPTOWN LOUNGE,1136-1140 W LAWRENCE AVE 1,CHICAGO,IL,60640,Late Hour,41.96914479,-87.65910172,"(41.969144793495026, -87.65910171892875)"
CASTLE,632 N DEARBORN ST 2ND,CHICAGO,IL,60654,Late Hour,41.89335935,-87.62984515,"(41.89335935419248, -87.62984514678733)"
DETENTION,9 W DIVISION ST  1,CHICAGO,IL,60610,Late Hour,41.90382531,-87.62907639,"(41.9038253091784, -87.62907638861904)"
"MARK II, LTD",7436-7442 N WESTERN AVE 1ST,CHICAGO,IL,60645,Late Hour,42.01696101,-87.69034725,"(42.016961012809865, -87.69034725403856)"
EVILOLIVE,1551 W DIVISION ST 1ST & MEZZANINE,CHICAGO,IL,60642,Late Hour,41.90324135,-87.66713779,"(41.90324134693906, -87.66713778924411)"
OHM,1954-1958 W NORTH AVE 2ND,CHICAGO,IL,60622,Late Hour,41.91059435,-87.67732926,"(41.910594346670926, -87.67732926334)"
JEFFERSON TAP AND GRILLE AND THE LOFT,323-325 N JEFFERSON ST 1,CHICAGO,IL,60661,Late Hour,41.88753166,-87.64267793,"(41.88753165653888, -87.64267793249394)"
HOUSE OF BLUES,329 N DEARBORN ST 2ND,CHICAGO,IL,60610,Late Hour,41.88830123,-87.62940669,"(41.88830122742548, -87.62940669235189)"
THE SMART BAR,3730 N CLARK ST BASEMENT,CHICAGO,IL,60613,Late Hour,41.94987958,-87.65884298,"(41.94987957621978, -87.6588429827861)"
CONCORD MUSIC HALL,2043-2051 N MILWAUKEE AVE,CHICAGO,IL,60647,Late Hour,41.91844757,-87.68982575,"(41.918447569300206, -87.68982574887923)"
Maddanthony's Bar & Grill /Lacoco's Pizza & Pasta,3344-3352 W 47TH ST,CHICAGO,IL,60632,Late Hour,41.80817609,-87.7082516,"(41.80817609033046, -87.70825160442028)"
LAS FUENTAS INC,2554 N HALSTED ST # 1,CHICAGO,IL,60614,Late Hour,41.92891047,-87.64902932,"(41.92891047281184, -87.64902932031382)"
JEFFERSON TAP AND GRILLE AND THE LOFT,323-325 N JEFFERSON ST 1,CHICAGO,IL,60661,Late Hour,41.88753166,-87.64267793,"(41.88753165653888, -87.64267793249394)"
AY CHIWOWA,311 W CHICAGO AVE,CHICAGO,IL,60654,Late Hour,41.89645686,-87.63618117,"(41.89645685790188, -87.63618117278183)"
HOUSE OF BLUES,329 N DEARBORN ST  3RD F,CHICAGO,IL,60610,Late Hour,41.88830123,-87.62940669,"(41.88830122742548, -87.62940669235189)"
JOE'S BAR,940 W WEED ST 1ST&MEZZ,CHICAGO,IL,60642,Late Hour,41.90989553,-87.65277244,"(41.9098955303975, -87.65277243899028)"
HOUSE OF BLUES,329 N DEARBORN ST  BALCO,CHICAGO,IL,60610,Late Hour,41.88830123,-87.62940669,"(41.88830122742548, -87.62940669235189)"
HOUSE OF BLUES,329 N DEARBORN ST  3RD F,CHICAGO,IL,60610,Late Hour,41.88830123,-87.62940669,"(41.88830122742548, -87.62940669235189)"
BOSS BAR,418-420 N CLARK ST 1ST,CHICAGO,IL,60654,Late Hour,41.88990488,-87.63122455,"(41.889904879439435, -87.63122454993453)"
HOUSE OF BLUES,329 N DEARBORN ST  SKYBO,CHICAGO,IL,60610,Late Hour,41.88830123,-87.62940669,"(41.88830122742548, -87.62940669235189)"
HYDRATE & ELIXIR,3452-3458 N HALSTED ST,CHICAGO,IL,60657,Late Hour,41.94521917,-87.64956864,"(41.94521917152393, -87.6495686413456)"
THE SHAMROCK CLUB,210 W KINZIE ST,CHICAGO,IL,60654,Tavern,41.88927036,-87.63450599,"(41.88927036095621, -87.63450598645791)"
MEL'S ODYSSEY LOUNGE,7643 1/2 S COTTAGE GROVE AVE  LIQ,CHICAGO,IL,60619,Tavern,41.75547895,-87.60516667,"(41.755478951826575, -87.60516667390868)"
MARY'S PLACE,6300 N MILWAUKEE AVE 1ST,CHICAGO,IL,60646,Tavern,41.99512692,-87.78595,"(41.995126920643685, -87.78595000421599)"
ROOTSTOCK WINE & BEER BAR,954 N CALIFORNIA AVE 1ST,CHICAGO,IL,60622,Tavern,41.89909971,-87.6969333,"(41.89909971202615, -87.69693329902871)"
LANGE'S LIQUORS,3500 N SOUTHPORT AVE,CHICAGO,IL,60657,Tavern,41.94528616,-87.66411623,"(41.945286155082755, -87.66411622886991)"
SAVEMORE LIQUORS INC,4060 N LINCOLN AVE,CHICAGO,IL,60618,Tavern,41.95575558,-87.68004392,"(41.95575558315587, -87.68004391584329)"
Three Counties,5856 N MILWAUKEE AVE  1,CHICAGO,IL,60646,Tavern,41.98810754,-87.77929463,"(41.98810754217685, -87.77929463383076)"
JET'S PUBLIC HOUSE,6148 N MILWAUKEE AVE,CHICAGO,IL,60646,Tavern,41.99337576,-87.78427522,"(41.993375763055695, -87.7842752194862)"
"THE JOHNS DEN, INC.",10330 S WESTERN AVE,CHICAGO,IL,60643,Tavern,41.70543467,-87.6817378,"(41.70543466911867, -87.68173780244274)"
THE NEW SOME PLACE ELSE LOUNGE,11043 S ASHLAND AVE 1ST,CHICAGO,IL,60643,Tavern,41.69263709,-87.66171111,"(41.692637090930575, -87.66171111252139)"
LITE INN LOUNGE,3616 W DIVISION ST 1ST,CHICAGO,IL,60651,Tavern,41.90285897,-87.71735662,"(41.90285896804475, -87.71735661538072)"
